Event start,Event end,Front velocity CD 28-29 (m/s),Front velocity CD 27-28 (m/s),Front velocity CD 27-29 (m/s),Front depth laser (m),Max flow depth laser (m),99th percentile flow depth laser (m),Front depth radar (m),Max flow depth radar (m),99th percentile flow depth radar (m),Mean bulk density laser (kg/m^3),Bulk density laser quantile 0.05 (kg/m^3),Bulk density laser quantile 0.25 (kg/m^3),Bulk density laser quantile 0.75 (kg/m^3),Bulk density laser quantile 0.95 (kg/m^3),Mean bulk density radar (kg/m^3),Bulk density radar quantile 0.05 (kg/m^3),Bulk density radar quantile 0.25 (kg/m^3),Bulk density radar quantile 0.75 (kg/m^3),Bulk density radar quantile 0.95 (kg/m^3),Peak velocity (quantile 0.99) laser CD 28-29 (m/s),Peak velocity (quantile 0.99) laser CD 27-28 (m/s),Peak velocity (quantile 0.99) laser CD 27-29 (m/s),Peak velocity (quantile 0.99) radar CD 28-29 (m/s),Peak velocity (quantile 0.99) radar CD 27-28 (m/s),Peak velocity (quantile 0.99) radar CD 27-29 (m/s),Peak discharge (quantile 0.99) laser CD 28-29 (m/s),Peak discharge (quantile 0.99) laser CD 27-28 (m/s),Peak discharge (quantile 0.99) laser CD 27-29 (m/s),Peak discharge (quantile 0.99) radar CD 28-29 (m/s),Peak discharge (quantile 0.99) radar CD 27-28 (m/s),Peak discharge (quantile 0.99) radar CD 27-29 (m/s),Volume laser CD 28-29 (m^3),Volume laser CD 27-28 (m^3),Volume laser CD 27-29 (m^3),Volume radar CD 28-29 (m^3),Volume radar CD 27-28 (m^3),Volume radar CD 27-29 (m^3),Flow duration (min),max_tilt,tilt0,tilt1,tilt2,max_forces,surge0,surge1,surge2,max_slope,time,area
10.06.19 19:40,10.06.19 21:22,0.9,7.5,2.3,0.77,0.773820419,0.621513395,0.7,0.76580862,0.621513395,1887,1673,1806,1978,2064,1681,1502,1579,1733,1969,0.82,7.05,2.16,0.89,7.66,2.16,3.76,9.93,9.93,3.76,32.39,9.93,1806.943398,15577.09826,4776.976799,1806.943398,15577.09826,4776.976799,26,0.74,0.74,0,0,89.96848,0,0,0,0.015343647,2019-06-10T18:35:51,591
10.06.19 23:21,11.06.19 01:20,2.5,2.58,2.55,0.42,0.782084007,0.597049904,0.41,0.672614136,0.597049904,1631,1351,1508,1767,1905,1568,1372,1456,1670,1790,3.22,3.35,3.31,3.24,3.37,3.31,12.08,12.42,12.42,12.08,12.57,12.42,5164.292499,5372.5301,5310.05882,5164.292499,5372.5301,5310.05882,21,0.42,0.3,0,0,72.61482,0,0,0,0.004035809,2019-06-10T23:12:52,444
21.06.19 21:44,22.06.19 00:08,6.6,5.32,5.65,2.59,3.130177994,2.437404532,2.69,2.691277065,2.437404532,1870,1490,1781,1992,2166,1740,1444,1663,1824,1956,6.55,5.26,5.59,6.57,5.28,5.59,147.61,125.98,125.98,147.61,118.62,125.98,97394.06511,78268.34235,83123.33352,97394.06511,78268.34235,83123.33352,43,5.2,5.2,0,0,306.71862,0,0,0,0.080558054,2019-06-21T19:45:07,1659
02.07.19 01:26,02.07.19 03:14,3.9,2.84,3.09,0.77,1.746908207,1.600467367,0.91,1.728970089,1.600467367,1971,1578,1883,2119,2231,1826,1551,1775,1908,2026,5.78,4.26,4.63,5.38,3.96,4.63,65.58,52.5,52.5,65.58,48.25,52.5,73188.06035,53848.21021,58588.36956,73188.06035,53848.21021,58588.36956,52,2.4,2.4,0.09,0,210.31012,210.31012,95.33,0,0.027109413,2019-07-01T23:30:31,1076
03.07.19 00:50,03.07.19 02:39,0.8,,2.55,0.77,0.77084877,0.707152824,0.9,0.901405373,0.707152824,2333,2131,2223,2426,2717,1916,1625,1798,2005,2313,0.76,,2.46,0.74,,2.46,3.5,11.29,11.29,3.5,,11.29,4117.300915,,13290.02194,4117.300915,,13290.02194,56,0.8,0.8,0,0,125.96438,0,0,0,0.022018848,2019-07-02T22:47:14,920
15.07.19 06:28,15.07.19 07:05,3.4,,,0.54,0.71246006,0.67578495,0.56,0.743385353,0.67578495,2191,2091,2149,2226,2308,1993,1814,1903,2069,2187,3.87,,,3.92,,,16.54,,,16.54,,,9869.937412,,,9869.937412,,,26,0.75,0.1,0,0,107.74472,0,0,0,0.002420709,2019-07-15T04:22:58,551
26.07.19 19:46,26.07.19 21:01,8.7,1.7,2.23,1.05,1.394212265,1.202058973,1.07,1.407910862,1.202058973,2223,1954,2113,2306,2611,1812,1604,1709,1901,2097,9.74,1.91,2.5,9.98,1.95,2.5,93.26,23.93,23.93,93.26,18.24,23.93,113310.3373,22166.57922,29077.33627,113310.3373,22166.57922,29077.33627,65,1.8,1.8,0,0,169.75436,0,0,0,0.027423729,2019-07-26T17:50:54,669
11.08.19 19:07,11.08.19 21:07,7,5.2,5.58,1.8,1.806160946,1.699208231,1.89,1.886162319,1.699208231,2323,1810,2101,2520,2923,1845,1631,1711,1902,2353,6.9,5.12,5.54,6.91,5.13,5.54,95.63,76.78,76.78,95.63,71,76.78,88064.97153,65383.48966,70705.40161,88064.97153,65383.48966,70705.40161,88,,,0,0,238.40186,0,0,0,0.052645828,2019-08-11T17:12:16,643
20.08.19 19:03,20.08.19 20:27,0.9,,3.05,0.44,1.131898422,0.882591314,0.45,1.103476086,0.882591314,2031,1874,1967,2089,2184,1872,1705,1803,1923,2090,1.36,,4.66,1.36,,4.66,8.06,27.62,27.62,8.06,,27.62,6137.109599,,21031.66773,6137.109599,,21031.66773,37,1.3,0.5,0,0,137.31318,0,0,0,0.00412315,2019-08-20T17:10:14,2451
04.06.20 17:18,04.06.20 19:15,3.4,1.9,2.18,0.58,1.730630894,1.454487829,0.68,1.836450615,1.454487829,1988,1237,1963,2118,2216,1772,1241,1747,1866,2003,5.88,3.29,3.78,5.65,3.17,3.78,72.05,46.33,46.33,72.05,40.38,46.33,82750.2799,46379.21292,53214.0443,82750.2799,46379.21292,53214.0443,92,3.1,2.8,3.1,2.1,247,177.2,247,167.25,0.035596672,2020-06-04T15:42:22,731
08.06.20 20:11,08.06.20 21:19,3.4,,14.22,0.36,0.449135323,0.372219582,0.32,0.620134392,0.372219582,1774,1274,1672,1924,2061,1494,1234,1396,1578,1760,3.66,,15.33,4.29,,15.33,11.22,47.07,47.07,11.22,,47.07,4058.397683,,17023.72125,4058.397683,,17023.72125,15,0.8,0.8,0,0,47.75452453,0,0,0,0.016470524,2020-06-08T17:57:53,1083
17.06.20 02:57,17.06.20 02:57,2,,,0.81,0.812989254,0.765081639,0.89,0.892684021,0.765081639,2179,2056,2136,2207,2324,1861,1644,1831,1916,2035,1.97,,,2,,,10.74,,,10.74,,,4129.66586,,,4129.66586,,,38,1.4,0.4,0,0,0.011076378,0,0,0,0.011076378,2020-06-17T04:56:59,1467
29.06.20 07:36,29.06.20 08:38,1.23,0.6,0.71,1.23,1.22691824,1.04218801,1.13,1.153310814,1.04218801,2066,1881,1961,2152,2269,1782,1603,1689,1854,2027,1.13,0.55,0.66,1.23,0.6,0.66,8.74,5.04,5.04,8.74,4.26,5.04,6612.448359,3225.584565,3816.941736,6612.448359,3225.584565,3816.941736,41,2.6,2.6,0,0,161.38796,0,0,0,0.028628201,2020-06-29T05:37:49,1597
17.08.20 01:16,17.08.20 02:08,0.49,,2.31,0.27,0.641415138,0.549048848,0.3,0.709724464,0.549048848,2240,1458,2035,2463,3003,1683,1299,1547,1832,2072,0.81,,3.81,0.81,,3.81,3.31,15.62,15.62,3.31,,15.62,2978.802712,,14042.92707,2978.802712,,14042.92707,44,,,,,84.4071,,,,0.019495412,2020-08-16T23:02:05,1552
30.08.20 08:03,30.08.20 13:58,0.73,,2.47,0.98,1.95721199,1.431193371,1.09,1.890227356,1.431193371,1777,1433,1668,1912,2028,1587,1329,1509,1672,1834,0.98,,3.33,0.96,,3.33,13.05,44.16,44.16,13.05,,44.16,15828.94326,,53558.20526,15828.94326,,53558.20526,100,5.5,1.9,0.9,5.5,234.6,144.52,137.5,234.6,0.027883094,2020-08-30T05:59:10,2251