,year,julday,time,max_tilt,tilt0,tilt1,tilt2,h99,location,multi_surge,fp_data,volume,velocity,total_run_time,daily_precipitation_[mm],area_under_tilt,start,end,max_forces,surge0,surge1,surge2,max_slope
4,2019,161,2019-06-10T18:35:51,0.74,0.74,0,0,0.64,Illgraben,0,TRUE,3300,0.9,0,0,591,3582,6488,89.96848,0,0,0,0.015343647
5,2019,161,2019-06-10T23:12:52,0.42,0.3,0,0,0.59,Illgraben,1,TRUE,6600,2.38,0,0,444,3474,8040,72.61482,0,0,0,0.004035809
6,2019,172,2019-06-21T19:45:07,5.2,5.2,0,0,2.45,Illgraben,0,TRUE,83000,5.6,0,0,1659,3535,6070,306.71862,0,0,0,0.080558054
7,2019,182,2019-07-01T23:30:31,2.4,2.4,0.09,0,,Illgraben,0,TRUE,,,0,0,1076,3471,7057,210.31012,210.31012,95.33,0,
8,2019,183,2019-07-02T22:47:14,0.8,0.8,0,0,1.62,Illgraben,0,TRUE,78000,3.8,0,0,920,3600,8341,125.96438,0,0,0,0.022018848
9,2019,184,2019-07-03T18:13:35,,,0,0,0.7,Illgraben,1,FALSE,39000,2.5,0,0,,,,,0,0,0,
10,2019,196,2019-07-15T04:22:58,0.75,0.1,0,0,0.68,Illgraben,1,TRUE,16000,5,0,0,551,3454,7143,107.74472,0,0,0,0.002420709
11,2019,207,2019-07-26T17:50:54,1.8,1.8,0,0,1.21,Illgraben,0,TRUE,64000,6.97,0,0,669,3535,5889,169.75436,0,0,0,0.027423729
12,2019,223,2019-08-11T17:12:16,,,0,0,,Illgraben,1,TRUE,53000,5.56,0,0,,,,238.40186,0,0,0,
13,2019,232,2019-08-20T17:10:14,1.3,0.5,0,0,0.89,Illgraben,1,TRUE,13000,0.95,0,0,643,3460,6236,137.31318,0,0,0,0.00412315
14,2020,156,2020-06-04T15:42:22,3.1,2.8,3.1,2.1,1.73,Illgraben,1,TRUE,55000,3.2,0,0,2451,3514,8460,247,177.2,247,167.25,0.035596672
15,2020,159,2020-06-07T09:27:19,0.8,0.8,0,0,0.4,Illgraben,0,TRUE,,0.7,0,0,731,3595,5399,57.59400373,0,0,0,0.002390614
16,2020,160,2020-06-08T17:57:53,0.8,0.8,0,0,0.45,Illgraben,0,TRUE,1000,0.8,0,0,1083,3600,6295,47.75452453,0,0,0,0.016470524
17,2020,162,2020-06-10T00:47:46,,,0,0,,Illgraben,0,FALSE,,2.1,0,0,,,,,0,0,0,
18,2020,169,2020-06-17T04:56:59,1.4,0.4,0,0,0.8,Illgraben,1,TRUE,,0.7,0,0,1467,3600,7932,0.011076378,0,0,0,
19,2020,181,2020-06-29T05:37:49,2.6,2.6,0,0,1.08,Illgraben,0,TRUE,14000,1.5,0,0,1597,3558,5257,161.38796,0,0,0,0.028628201
20,2020,229,2020-08-16T23:02:05,,0,0,0,0.64,Illgraben,0,TRUE,1000,0.6,0,0,1552,3389,4560,84.4071,0,0,0,0.019495412
21,2020,243,2020-08-30T05:59:10,5.5,1.9,0.9,5.5,1.89,Illgraben,1,TRUE,80000,,0,0,2251,3487,10466,234.6,144.52,137.5,234.6,0.027883094
22,2016,166,2016-06-14T21:53:58,0,,,,0,USGS,0,TRUE,8,0,02:46,7.36,,,,,,,,
23,2016,167,2016-06-15T21:47:29,0,,,,0,USGS,0,TRUE,8,0,06:22,3.05,,,,,,,,
24,2016,168,2016-06-16T22:26:26,0,,,,0,USGS,0,TRUE,8,0,06:20,3.3,,,,,,,,
25,2016,173,2016-06-21T18:57:21,0,,,,0,USGS,0,TRUE,8,0,06:07,0,,,,,,,,
26,2016,174,2016-06-22T19:10:54,0,,,,0,USGS,0,TRUE,10,0,05:07,0,,,,,,,,
27,2016,175,2016-06-23T14:52:50,0,,,,0,USGS,0,TRUE,10,0,05:42,0,,,,,,,,